oldCode,newCode,oldName,newName,oldNote,newNote,oldParentId,newParentId
"110101","110101","东城区","东城区","北京市-东城区","北京市-东城区","110000","110100"
"110102","110102","西城区","西城区","北京市-西城区","北京市-西城区","110000","110100"
"110105","110105","朝阳区","朝阳区","北京市-朝阳区","北京市-朝阳区","110000","110100"
"110106","110106","丰台区","丰台区","北京市-丰台区","北京市-丰台区","110000","110100"
"110107","110107","石景山区","石景山区","北京市-石景山区","北京市-石景山区","110000","110100"
"110108","110108","海淀区","海淀区","北京市-海淀区","北京市-海淀区","110000","110100"
"110109","110109","门头沟区","门头沟区","北京市-门头沟区","北京市-门头沟区","110000","110100"
"110111","110111","房山区","房山区","北京市-房山区","北京市-房山区","110000","110100"
"110112","110112","通州区","通州区","北京市-通州区","北京市-通州区","110000","110100"
"110113","110113","顺义区","顺义区","北京市-顺义区","北京市-顺义区","110000","110100"
"110114","110114","昌平区","昌平区","北京市-昌平区","北京市-昌平区","110000","110100"
"110115","110115","大兴区","大兴区","北京市-大兴区","北京市-大兴区","110000","110100"
"110116","110116","怀柔区","怀柔区","北京市-怀柔区","北京市-怀柔区","110000","110100"
"110117","110117","平谷区","平谷区","北京市-平谷区","北京市-平谷区","110000","110100"
"110118","110118","密云区","密云区","北京市-密云区","北京市-密云区","110000","110100"
"110119","110119","延庆区","延庆区","北京市-延庆区","北京市-延庆区","110000","110100"
"120101","120101","和平区","和平区","天津市-和平区","天津市-和平区","120000","120100"
"120102","120102","河东区","河东区","天津市-河东区","天津市-河东区","120000","120100"
"120103","120103","河西区","河西区","天津市-河西区","天津市-河西区","120000","120100"
"120104","120104","南开区","南开区","天津市-南开区","天津市-南开区","120000","120100"
"120105","120105","河北区","河北区","天津市-河北区","天津市-河北区","120000","120100"
"120106","120106","红桥区","红桥区","天津市-红桥区","天津市-红桥区","120000","120100"
"120110","120110","东丽区","东丽区","天津市-东丽区","天津市-东丽区","120000","120100"
"120111","120111","西青区","西青区","天津市-西青区","天津市-西青区","120000","120100"
"120112","120112","津南区","津南区","天津市-津南区","天津市-津南区","120000","120100"
"120113","120113","北辰区","北辰区","天津市-北辰区","天津市-北辰区","120000","120100"
"120114","120114","武清区","武清区","天津市-武清区","天津市-武清区","120000","120100"
"120115","120115","宝坻区","宝坻区","天津市-宝坻区","天津市-宝坻区","120000","120100"
"120116","120116","滨海新区","滨海新区","天津市-滨海新区","天津市-滨海新区","120000","120100"
"120117","120117","宁河区","宁河区","天津市-宁河区","天津市-宁河区","120000","120100"
"120118","120118","静海区","静海区","天津市-静海区","天津市-静海区","120000","120100"
"120119","120119","蓟州区","蓟州区","天津市-蓟州区","天津市-蓟州区","120000","120100"
"140502","140502","城区","城区","山西省-长治市-城区","山西省-晋城市-城区","140400","140500"
"140521","140521","沁水县","沁水县","山西省-长治市-沁水县","山西省-晋城市-沁水县","140400","140500"
"140522","140522","阳城县","阳城县","山西省-长治市-阳城县","山西省-晋城市-阳城县","140400","140500"
"140524","140524","陵川县","陵川县","山西省-长治市-陵川县","山西省-晋城市-陵川县","140400","140500"
"140525","140525","泽州县","泽州县","山西省-长治市-泽州县","山西省-晋城市-泽州县","140400","140500"
"140581","140581","高平市","高平市","山西省-长治市-高平市","山西省-晋城市-高平市","140400","140500"
"140602","140602","朔城区","朔城区","山西省-长治市-朔城区","山西省-朔州市-朔城区","140400","140600"
"140603","140603","平鲁区","平鲁区","山西省-长治市-平鲁区","山西省-朔州市-平鲁区","140400","140600"
"140621","140621","山阴县","山阴县","山西省-长治市-山阴县","山西省-朔州市-山阴县","140400","140600"
"140622","140622","应县","应县","山西省-长治市-应县","山西省-朔州市-应县","140400","140600"
"140623","140623","右玉县","右玉县","山西省-长治市-右玉县","山西省-朔州市-右玉县","140400","140600"
"150202","150202","东河区","东河区","内蒙古自治区-呼和浩特市-东河区","内蒙古自治区-包头市-东河区","150100","150200"
"150203","150203","昆都仑区","昆都仑区","内蒙古自治区-呼和浩特市-昆都仑区","内蒙古自治区-包头市-昆都仑区","150100","150200"
"150204","150204","青山区","青山区","内蒙古自治区-呼和浩特市-青山区","内蒙古自治区-包头市-青山区","150100","150200"
"150205","150205","石拐区","石拐区","内蒙古自治区-呼和浩特市-石拐区","内蒙古自治区-包头市-石拐区","150100","150200"
"150206","150206","白云鄂博矿区","白云鄂博矿区","内蒙古自治区-呼和浩特市-白云鄂博矿区","内蒙古自治区-包头市-白云鄂博矿区","150100","150200"
"150207","150207","九原区","九原区","内蒙古自治区-呼和浩特市-九原区","内蒙古自治区-包头市-九原区","150100","150200"
"150221","150221","土默特右旗","土默特右旗","内蒙古自治区-呼和浩特市-土默特右旗","内蒙古自治区-包头市-土默特右旗","150100","150200"
"150222","150222","固阳县","固阳县","内蒙古自治区-呼和浩特市-固阳县","内蒙古自治区-包头市-固阳县","150100","150200"
"150223","150223","达尔罕茂明安联合旗","达尔罕茂明安联合旗","内蒙古自治区-呼和浩特市-达尔罕茂明安联合旗","内蒙古自治区-包头市-达尔罕茂明安联合旗","150100","150200"
"310101","310101","黄浦区","黄浦区","上海市-黄浦区","上海市-黄浦区","310000","310100"
"310104","310104","徐汇区","徐汇区","上海市-徐汇区","上海市-徐汇区","310000","310100"
"310105","310105","长宁区","长宁区","上海市-长宁区","上海市-长宁区","310000","310100"
"310106","310106","静安区","静安区","上海市-静安区","上海市-静安区","310000","310100"
"310107","310107","普陀区","普陀区","上海市-普陀区","上海市-普陀区","310000","310100"
"310109","310109","虹口区","虹口区","上海市-虹口区","上海市-虹口区","310000","310100"
"310110","310110","杨浦区","杨浦区","上海市-杨浦区","上海市-杨浦区","310000","310100"
"310112","310112","闵行区","闵行区","上海市-闵行区","上海市-闵行区","310000","310100"
"310113","310113","宝山区","宝山区","上海市-宝山区","上海市-宝山区","310000","310100"
"310114","310114","嘉定区","嘉定区","上海市-嘉定区","上海市-嘉定区","310000","310100"
"310115","310115","浦东新区","浦东新区","上海市-浦东新区","上海市-浦东新区","310000","310100"
"310116","310116","金山区","金山区","上海市-金山区","上海市-金山区","310000","310100"
"310117","310117","松江区","松江区","上海市-松江区","上海市-松江区","310000","310100"
"310118","310118","青浦区","青浦区","上海市-青浦区","上海市-青浦区","310000","310100"
"310120","310120","奉贤区","奉贤区","上海市-奉贤区","上海市-奉贤区","310000","310100"
"310151","310151","崇明区","崇明区","上海市-崇明区","上海市-崇明区","310000","310100"
"350582","350582","晋江市","晋江市","福建省-晋江市","福建省-泉州市-晋江市","350000","350500"
"360200","360200","景德镇市","景德镇市","江西省-南昌市-景德镇市","江西省-景德镇市","360100","360000"
"360202","360202","昌江区","昌江区","江西省-南昌市-昌江区","江西省-景德镇市-昌江区","360100","360200"
"360203","360203","珠山区","珠山区","江西省-南昌市-珠山区","江西省-景德镇市-珠山区","360100","360200"
"360222","360222","浮梁县","浮梁县","江西省-南昌市-浮梁县","江西省-景德镇市-浮梁县","360100","360200"
"360281","360281","乐平市","乐平市","江西省-南昌市-乐平市","江西省-景德镇市-乐平市","360100","360200"
"419001","419001","济源市","济源市","河南省-省直辖县级行政区划-济源市","河南省-济源市","419000","410000"
"429004","429004","仙桃市","仙桃市","湖北省-省直辖县级行政区划-仙桃市","湖北省-仙桃市","429000","420000"
"429005","429005","潜江市","潜江市","湖北省-省直辖县级行政区划-潜江市","湖北省-潜江市","429000","420000"
"429006","429006","天门市","天门市","湖北省-省直辖县级行政区划-天门市","湖北省-天门市","429000","420000"
"429021","429021","神农架林区","神农架林区","湖北省-省直辖县级行政区划-神农架林区","湖北省-神农架林区","429000","420000"
"460300","460300","三沙市","三沙市","海南省-三亚市-三沙市","海南省-三沙市","460200","460000"
"460400","460400","儋州市","儋州市","海南省-三亚市-儋州市","海南省-儋州市","460200","460000"
"469001","469001","五指山市","五指山市","海南省-三亚市-五指山市","海南省-五指山市","460200","460000"
"469002","469002","琼海市","琼海市","海南省-三亚市-琼海市","海南省-琼海市","460200","460000"
"469005","469005","文昌市","文昌市","海南省-三亚市-文昌市","海南省-文昌市","460200","460000"
"469006","469006","万宁市","万宁市","海南省-三亚市-万宁市","海南省-万宁市","460200","460000"
"469007","469007","东方市","东方市","海南省-三亚市-东方市","海南省-东方市","460200","460000"
"469021","469021","定安县","定安县","海南省-三亚市-定安县","海南省-定安县","460200","460000"
"469022","469022","屯昌县","屯昌县","海南省-三亚市-屯昌县","海南省-屯昌县","460200","460000"
"469023","469023","澄迈县","澄迈县","海南省-三亚市-澄迈县","海南省-澄迈县","460200","460000"
"469024","469024","临高县","临高县","海南省-三亚市-临高县","海南省-临高县","460200","460000"
"469025","469025","白沙黎族自治县","白沙黎族自治县","海南省-三亚市-白沙黎族自治县","海南省-白沙黎族自治县","460200","460000"
"469026","469026","昌江黎族自治县","昌江黎族自治县","海南省-三亚市-昌江黎族自治县","海南省-昌江黎族自治县","460200","460000"
"469027","469027","乐东黎族自治县","乐东黎族自治县","海南省-三亚市-乐东黎族自治县","海南省-乐东黎族自治县","460200","460000"
"469028","469028","陵水黎族自治县","陵水黎族自治县","海南省-三亚市-陵水黎族自治县","海南省-陵水黎族自治县","460200","460000"
"469029","469029","保亭黎族苗族自治县","保亭黎族苗族自治县","海南省-三亚市-保亭黎族苗族自治县","海南省-保亭黎族苗族自治县","460200","460000"
"469030","469030","琼中黎族苗族自治县","琼中黎族苗族自治县","海南省-三亚市-琼中黎族苗族自治县","海南省-琼中黎族苗族自治县","460200","460000"
"500229","500229","城口县","城口县","重庆市-县-城口县","重庆市-城口县","500200","500100"
"500230","500230","丰都县","丰都县","重庆市-县-丰都县","重庆市-丰都县","500200","500100"
"500231","500231","垫江县","垫江县","重庆市-县-垫江县","重庆市-垫江县","500200","500100"
"500233","500233","忠县","忠县","重庆市-县-忠县","重庆市-忠县","500200","500100"
"500235","500235","云阳县","云阳县","重庆市-县-云阳县","重庆市-云阳县","500200","500100"
"500236","500236","奉节县","奉节县","重庆市-县-奉节县","重庆市-奉节县","500200","500100"
"500237","500237","巫山县","巫山县","重庆市-县-巫山县","重庆市-巫山县","500200","500100"
"500238","500238","巫溪县","巫溪县","重庆市-县-巫溪县","重庆市-巫溪县","500200","500100"
"500240","500240","石柱土家族自治县","石柱土家族自治县","重庆市-县-石柱土家族自治县","重庆市-石柱土家族自治县","500200","500100"
"500241","500241","秀山土家族苗族自治县","秀山土家族苗族自治县","重庆市-县-秀山土家族苗族自治县","重庆市-秀山土家族苗族自治县","500200","500100"
"500242","500242","酉阳土家族苗族自治县","酉阳土家族苗族自治县","重庆市-县-酉阳土家族苗族自治县","重庆市-酉阳土家族苗族自治县","500200","500100"
"500243","500243","彭水苗族土家族自治县","彭水苗族土家族自治县","重庆市-县-彭水苗族土家族自治县","重庆市-彭水苗族土家族自治县","500200","500100"
"659001","659001","石河子市","石河子市","新疆维吾尔自治区-自治区直辖县级行政区划-石河子市","新疆维吾尔自治区-石河子市","659000","650000"
"659002","659002","阿拉尔市","阿拉尔市","新疆维吾尔自治区-自治区直辖县级行政区划-阿拉尔市","新疆维吾尔自治区-阿拉尔市","659000","650000"
"659003","659003","图木舒克市","图木舒克市","新疆维吾尔自治区-自治区直辖县级行政区划-图木舒克市","新疆维吾尔自治区-图木舒克市","659000","650000"
"659004","659004","五家渠市","五家渠市","新疆维吾尔自治区-自治区直辖县级行政区划-五家渠市","新疆维吾尔自治区-五家渠市","659000","650000"
"659006","659006","铁门关市","铁门关市","新疆维吾尔自治区-自治区直辖县级行政区划-铁门关市","新疆维吾尔自治区-铁门关市","659000","650000"